"","study","country","ageGroup","framing","itemSet","subid","dateOfTest","durationOfTest","gender","religion","repeated","comments","sequence","phase","trialNum","factCat","factSub","factText","questionCat","questionSub","questionText","response"
"1","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"2","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"3","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",0.5
"4","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",0.5
"5","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"6","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"7","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-0.5
"8","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",0.5
"9","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",-0.5
"10","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"11","1","us","adults","does that mean...?","cb1","R_0dKn1jkPuTFLlnn",2014-04-11 09:12:00,4,NA,NA,NA,"Thanks for the opportunity.","1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",-1.5
"12","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","practice",1,NA,NA,"is purple",NA,NA,"is green",-1.5
"13","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","practice",2,NA,NA,"is walking around",NA,NA,"has legs",1.5
"14","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","practice",3,NA,NA,"is made out of paper",NA,NA,"might rip sometime",0.5
"15","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",4,"inanimacy","metal_plastic","is made out of plastic","perception","hearing","can hear what's going on around it",-1.5
"16","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",5,"affect","positive","is in a good mood right now","autonomy","noise","can make noises all by itself",0.5
"17","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",6,"perception","vision","can see me","affect","negative","can be in a bad mood sometimes",0.5
"18","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",7,"autonomy","movement","is moving itself from one side of the box to the other","inanimacy","glass_clay","is made out of clay",-1.5
"19","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",8,"affect","negative","feels sad right now","affect","positive","can feel happy sometimes",0.5
"20","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",9,"autonomy","noise","is making sounds on its own","perception","vision","can see what the box looks like",0.5
"21","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",10,"inanimacy","glass_clay","is made out of glass","inanimacy","metal_plastic","is made out of metal",-1.5
"22","1","us","adults","does that mean...?","cb1","R_0lxKq3EZpu8YgKN",2014-04-11 07:36:00,3,NA,NA,NA,NA,"1","test",11,"perception","hearing","can hear me","autonomy","movement","can move itself around the box",0.5
