"","study","country","sequence","subid"
"1","1","us","1","R_bJX8RWTZ7RaV8HP"
"2","1","us","1","R_6fbFiNVB6MFCxCt"
"3","1","us","1","R_eew5IppVb3Amjad"
"4","1","us","1","R_0lxKq3EZpu8YgKN"
"5","1","us","1","R_9AgTp72ft2LA2AB"
"6","1","us","1","R_4JE63h47n2FAI8B"
"7","1","us","1","R_43pNIOadVPn4K3j"
"8","1","us","1","R_0dKn1jkPuTFLlnn"
"9","1","us","1","R_3lR0LqYqVGzBNid"
"10","1","us","1","R_6lh2AAf2dfziuYR"
"11","1","us","2","R_d0xYZ3w0hjbz92t"
"12","1","us","2","R_7PwhzIUg22D1qO9"
"13","1","us","2","R_b1SyX9hT15JxRyZ"
"14","1","us","2","R_9Ntcpm8QUPvjW5v"
"15","1","us","2","R_1ImcV20k3mZ4EwB"
"16","1","us","2","R_3DFVB29swcYcMaF"
"17","1","us","2","R_9zaRqTKdZuyTAlD"
"18","1","us","2","R_8Ij29GMQENYYy7X"
"19","1","us","2","R_eKaCSH19mCOsxtH"
"20","1","us","2","R_6MbAhRcU7sIPx9r"
"21","1","us","3","R_7PT2uF94g2R9edf"
"22","1","us","3","R_3IP37bQ86j8MPWZ"
"23","1","us","3","R_3E5hPcKUFZzJ9zL"
"24","1","us","3","R_aheZLmQ3rUwriLz"
"25","1","us","3","R_6PUFkJLmyrREi33"
"26","1","us","3","R_3C33hHhfhaB65al"
"27","1","us","3","R_0eMAZLFOjFZIvI1"
"28","1","us","3","R_cO9vmnlw3vY6oqp"
"29","1","us","3","R_9yOYrxQ6IiEs4rX"
"30","1","us","3","R_a5GdOdin7kBBlkx"
"31","1","us","4","R_ebKOr59GF3HQSyN"
"32","1","us","4","R_6QFvCE6Rc9RQAaF"
"33","1","us","4","R_ebyVrjRRGF7Cesl"
"34","1","us","4","R_dbwJD3rLYRoehNz"
"35","1","us","4","R_3t3rKkLbC6Fq60t"
"36","1","us","4","R_8e0Y50u8YOHLbFz"
"37","1","us","4","R_0CebqkSIp6ZTsK9"
"38","1","us","4","R_6sS9s1Cj6hh0zvT"
"39","1","us","4","R_6Khb6KJvSg0KsG9"
"40","1","us","4","R_a44cAHYYGKHppd3"
"41","1","us","5","R_01XYhQZBIwvxdDD"
"42","1","us","5","R_55popjO0lVetVdj"
"43","1","us","5","R_bK4FIFYCbI1T56l"
"44","1","us","5","R_aauPmaaKuI62C9v"
"45","1","us","5","R_doFZQui3F8R04tf"
"46","1","us","5","R_eqYlh4wUN4U5LXn"
"47","1","us","5","R_6FsX2AroVO3SNkp"
"48","1","us","5","R_1GMkS9BVvMekNwN"
"49","1","us","5","R_5yHXgyHqSEY87l3"
"50","1","us","5","R_6orlbaSasUNNoX3"
"51","1","us","6","R_0pL1LX58wFM0pox"
"52","1","us","6","R_afshrWOHQr0lGS1"
"53","1","us","6","R_cRQGgIBIQYqbMjj"
"54","1","us","6","R_0r24cYdybYWmGCF"
"55","1","us","6","R_0GGPKojhvEdWUBv"
"56","1","us","6","R_3KTMFDnz0f06S7X"
"57","1","us","6","R_3CO4jzo4JRWW137"
"58","1","us","6","R_aY6ZhUAUSRxHtxH"
"59","1","us","6","R_9NYAxD2XqvQR75H"
"60","1","us","6","R_2lVHAFdeOo4vaOF"
"61","1","us","7","R_0kC1q0S5kjySuSp"
"62","1","us","7","R_2skGuFQMyQDkU6h"
"63","1","us","7","R_3gfJBMqWUSboXpb"
"64","1","us","7","R_9vpV6ndeL6zd2GV"
"65","1","us","7","R_2crksm4Y6bFKD5z"
"66","1","us","7","R_9NMghMapgwelaT3"
"67","1","us","7","R_6uq0RkutUs1RLtb"
"68","1","us","7","R_7Up3AWRkDN7DjgN"
"69","1","us","7","R_agVWbT0RtmmPHnL"
"70","1","us","7","R_3ksRxK7s0SRjiwR"
"71","1","us","8","R_0J656FzFSThdWXX"
"72","1","us","8","R_4M9Q6PWK8Yhy1vL"
"73","1","us","8","R_4ZUjBbfE7R7hrfv"
"74","1","us","8","R_bEj3P7uCbB3zh77"
"75","1","us","8","R_9yRNbRlBhEzdvpz"
"76","1","us","8","R_d6lMpi0UgZ2s9mt"
"77","1","us","8","R_1EVYXR49z1if5T7"
"78","1","us","8","R_0362z9pndXwd40J"
"79","1","us","8","R_5oN5RWrmOq2eCrz"
"80","1","us","8","R_7O6bEwbHkOj3vP7"
"81","1prime","us","1","R_ewDUXA2HhdtA41n"
"82","1prime","us","1","R_6xmbP1k3PqMQ3w9"
"83","1prime","us","1","R_ehRzEQEJZlJca69"
"84","1prime","us","1","R_1TBoZzFxCTn8St7"
"85","1prime","us","1","R_2b1M6oLq2HrIWfX"
"86","1prime","us","1","R_b33opNbtbpXOPxH"
"87","1prime","us","1","R_eY6CI04SJA3DzZH"
"88","1prime","us","1","R_0kQY7rxo4aOHkqh"
"89","1prime","us","1","R_eFLvi17JcxE2mgJ"
"90","1prime","us","2","R_1XFkTLjImdbeNdH"
"91","1prime","us","2","R_6kWH19B3PdQhpXL"
"92","1prime","us","2","R_3QWWVqODmFucO4l"
"93","1prime","us","2","R_7PRAUQ9y1fhgjwV"
"94","1prime","us","2","R_1B1H033NFLpgv3f"
"95","1prime","us","2","R_6Mgg4qA416Yw27X"
"96","1prime","us","2","R_a9wXbA66b14G7PL"
"97","1prime","us","2","R_3DeNBnxaSZOHdXf"
"98","1prime","us","2","R_bswEF7HEf6RNXTL"
"99","1prime","us","3","R_507uNPeXAVYiC0d"
"100","1prime","us","3","R_37XmwaaibanKJNz"
"101","1prime","us","3","R_3xtkTNLG0OGM05v"
"102","1prime","us","3","R_eQJupgPB9DpGfbL"
"103","1prime","us","3","R_898pwCLkvKa8EOp"
"104","1prime","us","3","R_aXocal1VNKnKDLT"
"105","1prime","us","3","R_a3JYuWJdhDBrUZT"
"106","1prime","us","3","R_0uDWxv6sZ4Qgq9v"
"107","1prime","us","3","R_d0cSEb005GfZEeF"
"108","1prime","us","4","R_9H57FZ4kJJxzBkN"
"109","1prime","us","4","R_2n1rYDvMphbkVcV"
"110","1prime","us","4","R_3JAxbm50CQnVCJf"
"111","1prime","us","4","R_cHfGVn8QlkSrIC9"
"112","1prime","us","4","R_1AhwisvTNElTEy1"
"113","1prime","us","4","R_d6w6cW70Kqzyivb"
"114","1prime","us","4","R_7UNB3Kbls7gvqFT"
"115","1prime","us","4","R_bjsWmU1KQWXfN1X"
"116","1prime","us","4","R_5bB05KkpE5gFllP"
"117","1prime","us","5","R_bBM2X4xG92dkXgV"
"118","1prime","us","5","R_3VmJuG4IlmZWFgN"
"119","1prime","us","5","R_0vbCZgqxW8wrC1T"
"120","1prime","us","5","R_8uztj9hKCAVaCdT"
"121","1prime","us","5","R_3q3bliEshNJOkzb"
"122","1prime","us","5","R_8J57dNNRNjD42TH"
"123","1prime","us","5","R_bBfYjB9D5umgLzv"
"124","1prime","us","5","R_3NOgW1qALnFWdKZ"
"125","1prime","us","5","R_73QBzUOyF2RrytL"
"126","1prime","us","6","R_bjWYJrRDV8h9NwF"
"127","1prime","us","6","R_8pteTHcD2dU0K2x"
