sequence,phase,trialNum,fact,factCat,factSub,factText,question,questionCat,questionSub,questionText
1,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
1,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
1,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
1,test,t1,Phya2,phy,metal_plastic,is made out of plastic,Perb2,per,hearing,can hear what's going on around it
1,test,t2,Affb1,aff,arousal,is feeling excited,Autb1,aut,noise,can make noises all by itself
1,test,t3,Pera1,per,vision,can see me,Affb2,aff,arousal,can feel calm 
1,test,t4,Auta2,aut,movement,is moving itself from one side of the box to the other,Phyb2,phy,glass_clay,is made out of clay
1,test,t5,Affa2,aff,valence,feels sad ,Affa1,aff,valence,can feel happy 
1,test,t6,Autb2,aut,noise,is making sounds on its own,Pera2,per,vision,can see what the box looks like
1,test,t7,Phyb1,phy,glass_clay,is made out of glass,Phya1,phy,metal_plastic,is made out of metal
1,test,t8,Perb1,per,hearing,can hear me,Auta1,aut,movement,can move itself around the box
2,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
2,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
2,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
2,test,t1,Pera2,per,vision,can see what the box looks like,Autb1,aut,noise,can make noises all by itself
2,test,t2,Phyb2,phy,glass_clay,is made out of clay,Phya2,phy,metal_plastic,is made out of plastic
2,test,t3,Auta2,aut,movement,is moving itself from one side of the box to the other,Perb1,per,hearing,can hear me
2,test,t4,Affb2,aff,arousal,is feeling calm ,Affb1,aff,arousal,can feel excited 
2,test,t5,Autb2,aut,noise,is making sounds on its own,Phyb1,phy,glass_clay,is made out of glass
2,test,t6,Perb2,per,hearing,can hear what's going on around it,Affa2,aff,valence,can feel sad 
2,test,t7,Affa1,aff,valence,feels happy ,Auta1,aut,movement,can move itself around the box
2,test,t8,Phya1,phy,metal_plastic,is made out of metal,Pera1,per,vision,can see me
3,practice,p1,NA,NA,NA,is purple,NA,NA,NA,is green
3,practice,p2,NA,NA,NA,is walking around,NA,NA,NA,has legs
3,practice,p3,NA,NA,NA,is made out of paper,NA,NA,NA,might rip sometime
3,test,t1,Affa2,aff,valence,feels sad ,Pera2,per,vision,can see what the box looks like
3,test,t2,Perb2,per,hearing,can hear what's going on around it,Phyb1,phy,glass_clay,is made out of glass
3,test,t3,Phya2,phy,metal_plastic,is made out of plastic,Affb2,aff,arousal,can feel calm 
3,test,t4,Autb1,aut,noise,is making noises all by itself,Auta1,aut,movement,can move itself around the box
